,Datetime,P,I,T,T_NCEP,H_NCEP,W_NCEP,I_NCEP
236,25/1/2022 17:00,108,49.82909875,40.75,31.05,26.3,0.69,328.2357
237,26/1/2022 7:00,278.8,49.8210075,30.25,22.32,52.35,0.98,4.326
238,26/1/2022 8:00,840,312.473875,33.5,24.71,46.57,1.06,135.3868
239,26/1/2022 9:00,1360,555.9461,38,27.11,40.78,1.18,376.0338
240,26/1/2022 10:00,1756,726.42685,40.25,29.5,35,1.32,575.8314
241,26/1/2022 11:00,1968,828.585825,42,30.82,31.11,0.96,743.8944
242,26/1/2022 12:00,1932,815.046125,43,32.14,27.23,0.66,864.5304
243,26/1/2022 13:00,2040,858.07705,43.5,33.46,23.34,0.52,886.6101
244,27/1/2022 7:00,252,56.1093325,31.25,22.63,51.14,0.89,4.3894
245,27/1/2022 8:00,737.6,272.4293,33.25,24.88,45.76,1.01,133.982
246,27/1/2022 9:00,1268,507.144825,35.5,27.13,40.39,1.24,372.387
247,27/1/2022 10:00,1660,672.1142,38,29.38,35.01,1.52,570.1713
248,27/1/2022 11:00,1876,773.382925,40.25,30.55,32.52,1.65,736.8546
249,27/1/2022 12:00,1820,769.5549,41.75,31.72,30.03,1.79,856.8093
250,27/1/2022 13:00,884,359.090025,42.5,32.9,27.54,1.96,876.9711
251,27/1/2022 14:00,1012,409.736525,41.75,33.01,27.07,1.42,831.6288
252,27/1/2022 15:00,872,350.317125,42,33.12,26.59,1.06,724.8375
253,27/1/2022 16:00,504,224.32405,41.75,33.23,26.12,1.05,526.9926
254,27/1/2022 17:00,92,40.036475,41,31.84,28.7,1.43,314.1699
255,28/1/2022 7:00,224.4,63.433565,33.5,23.77,53.39,0.74,4.449
256,28/1/2022 8:00,691.2,260.3949,35,25.77,48.57,0.14,130.1457
257,28/1/2022 9:00,1212,488.07755,36.5,27.77,43.76,0.85,367.4946
258,28/1/2022 10:00,1620,658.404525,39.75,29.78,38.95,1.63,564.1758
259,28/1/2022 11:00,1820,750.940825,41.25,31.04,36.3,1.29,730.1736
260,28/1/2022 12:00,1812,741.528575,41.75,32.31,33.66,1.07,849.9798
261,28/1/2022 13:00,1688,714.99945,42.75,33.57,31.01,1.05,865.5549
262,28/1/2022 14:00,1012,420.435575,43,33.63,30.3,0.98,816.6276
263,28/1/2022 15:00,848,339.9337,42.75,33.69,29.59,0.98,708.3306
264,28/1/2022 16:00,364,154.3917225,42,33.74,28.88,1.07,496.4172
265,28/1/2022 17:00,116,47.5387625,42,32.62,31.86,0.95,283.5871
266,29/1/2022 7:00,252,65.3192575,33.5,24.03,60.65,1.78,4.2768
267,29/1/2022 8:00,748,271.676625,35.25,26.23,54.52,1.9,133.7653
268,29/1/2022 9:00,1228,500.3143,38.25,28.44,48.38,2.04,369.4251
269,29/1/2022 10:00,1660,679.891625,40.25,30.65,42.25,2.19,566.6718
270,29/1/2022 11:00,1928,797.864525,42.75,31.81,38.41,2.45,733.2237
271,29/1/2022 12:00,1776,767.426425,44.25,32.98,34.58,2.74,853.509
272,29/1/2022 13:00,1852,771.9828,44.5,34.14,30.75,3.05,872.9787
273,29/1/2022 14:00,1656,693.81985,44.5,34.27,30.14,3.76,827.4414
274,29/1/2022 15:00,1184,491.3957,44,34.4,29.54,4.51,721.2114
275,29/1/2022 16:00,660,293.932625,43.75,34.54,28.93,5.29,517.7499
276,29/1/2022 17:00,164,81.13312,42.75,33.19,32.27,4.16,304.9662
277,30/1/2022 7:00,256,57.695575,33.25,23.43,70.73,1.56,4.4731
278,30/1/2022 8:00,808,281.3478925,35.75,25.76,62.21,1.87,135.2628
279,30/1/2022 9:00,1348,552.03715,38.5,28.09,53.68,2.25,372.2412
280,30/1/2022 10:00,1760,723.4891,41.75,30.43,45.16,2.67,570.3228
281,30/1/2022 11:00,1960,817.571125,43,31.82,39.1,2.84,737.5344
282,30/1/2022 12:00,1844,771.035925,44,33.22,33.05,3.02,858.2595
283,30/1/2022 13:00,1920,784.251975,45.25,34.61,26.99,3.19,881.4243
284,30/1/2022 14:00,1772,744.280225,46.25,34.71,25.76,3.86,839.0076
285,30/1/2022 15:00,1020,411.8731,45,34.81,24.52,4.57,734.5626
286,30/1/2022 16:00,420,187.34675,43.75,34.92,23.28,5.3,539.2017
287,30/1/2022 17:00,160,89.2909625,43,33,26.75,4.59,326.3058
288,31/1/2022 7:00,294.8,44.5524125,32.25,22.33,75.41,1.75,4.701
289,31/1/2022 8:00,876,306.8087075,35.75,24.72,65.81,2.04,137.524
290,31/1/2022 9:00,1416,583.64065,39,27.11,56.22,2.47,377.2128
291,31/1/2022 10:00,1804,745.77745,42.75,29.49,46.62,2.97,576.894
292,31/1/2022 11:00,2040,840.774025,44.75,31.08,39.56,2.99,745.1781
293,31/1/2022 12:00,2064,880.94805,46.25,32.67,32.5,3.02,866.4168
294,31/1/2022 13:00,1540,673.8785,45.5,34.26,25.44,3.05,889.935
295,31/1/2022 14:00,1640,637.7348,44.75,34.37,25,3.24,847.3386
296,31/1/2022 15:00,1256,516.759425,44,34.49,24.56,3.47,742.1703
297,31/1/2022 16:00,584,268.722675,43,34.6,24.12,3.71,549.3981
298,31/1/2022 17:00,132,71.559015,42.25,33.12,27.34,3.34,335.9343
299,1/2/2022 7:00,282,63.72492,33.5,22.8,78.42,0.86,4.7783
300,1/2/2022 8:00,801.6,280.9594,35.25,24.81,69.82,0.19,136.1465
301,1/2/2022 9:00,1368,570.400375,37,26.83,61.22,1.07,373.6767
302,1/2/2022 10:00,1496,588.188975,38.5,28.84,52.62,2.02,544.1133
303,1/2/2022 11:00,1364,622.9973,41.25,29.93,48.37,2.03,670.6422
304,1/2/2022 12:00,1540,675.3757,42,31.02,44.11,2.06,745.3065
305,1/2/2022 13:00,1688,734.8032,42,32.12,39.85,2.1,636.7923
306,1/2/2022 14:00,1792,753.846225,42.75,32.04,39.96,1.63,482.6346
307,1/2/2022 15:00,1116,467.60205,42.5,31.97,40.07,2.11,313.401
308,1/2/2022 16:00,656,297.74985,42,31.9,40.19,3.13,220.1365
309,1/2/2022 17:00,156,82.8893275,41.75,29.88,49.2,1.68,126.4238
310,2/2/2022 7:00,232.8,78.7942475,34.5,23.08,80.37,1.34,4.4029
311,2/2/2022 8:00,734.4,271.1182,35.75,24.76,73.03,1.99,129.8397
312,2/2/2022 9:00,1172,487.422,37,26.44,65.7,2.66,369.1593
313,2/2/2022 10:00,1616,659.319025,39,28.12,58.37,3.34,544.071
314,2/2/2022 11:00,1324,564.07155,40,29.32,53.75,2.74,679.1664
315,2/2/2022 12:00,1692,695.130925,40.5,30.51,49.13,2.15,764.6277
316,2/2/2022 13:00,1140,487.00115,41,31.7,44.52,1.57,591.9459
317,2/2/2022 14:00,840,320.89065,41,30.4,48.94,0.45,377.8125
318,2/2/2022 15:00,644,245.082785,40.75,29.1,53.37,1.63,166.6287
319,2/2/2022 16:00,452,165.97289,40.25,27.8,57.79,3.13,151.5341
320,2/2/2022 17:00,208,81.74821675,37.25,27.29,59.53,2.24,112.4738
321,3/2/2022 7:00,273.2,80.2105325,33.75,23.28,77.03,1.68,4.8605
322,3/2/2022 8:00,734,259.6908,34.75,24.97,70.07,2.15,130.9719
323,3/2/2022 9:00,1192,509.46755,36.25,26.65,63.12,2.64,368.1156
324,3/2/2022 10:00,1188,483.529225,38.75,28.34,56.17,3.16,558.798
325,3/2/2022 11:00,1400,566.143425,39,29.01,53.5,3.05,716.9178
326,3/2/2022 12:00,1532,658.809175,40.75,29.67,50.84,2.93,828.4596
327,3/2/2022 13:00,1068,429.281325,40.25,30.34,48.18,2.82,725.9799
328,3/2/2022 14:00,1384,579.893525,40,30.15,47.95,2.71,571.0554
329,3/2/2022 15:00,796,313.088925,40,29.96,47.73,2.66,393.8637
330,3/2/2022 16:00,468,208.5425,40,29.77,47.5,2.68,273.8076
331,3/2/2022 17:00,136,68.7911975,40,28.69,52.5,1.44,155.5601
332,4/2/2022 7:00,86.8,35.1077865,33,21.96,82.31,2.8,3.8896
333,4/2/2022 8:00,168.8,68.459365,33,23.3,73.51,3.48,113.1346
334,4/2/2022 9:00,732,273.2791,33.25,24.64,64.71,4.19,314.3994
